"ID","Name","LogoUrl","Abbreviation","Province","ProvinceID","Municipality","MunicipalityID"
"1848","1860NIC CONGRESS","1860NICCKZN435.jpg","1860NICC","","","",""
"2132","4TH GENERATION MOVEMENT","4TH GEN.jpg","4TH GEN","","","",""
"2033","A SHALL-X PARTY","SHALL-X.jpg","SHALL-X","","","",""
"1629","AARON","AARON.jpg","AARON","","","",""
"1075","ABAFUNA INGUBO YESKHETHU PARTY","INGUBO.jpg","INGUBO","","","",""
"1588","ABAHLALI BASE MKHANYAKUDE MOVEMENT","ABMMKZN271.jpg","ABMM","","","",""
"1488","ABANTU BATHO CONGRESS","ABC.jpg","ABC","","","",""
"3205","ABANTU BEZWELETHU CONGRESS DEMOCRACY","A.B.C.D..jpg","A.B.C.D.","","","",""
"1538","ABANTU INTEGRITY MOVEMENT","AIMNMA.jpg","AIM","","","",""
"1531","ABLE LEADERSHIP","AL..jpg","AL.","","","",""
"2069","ABORIGINAL GORILLA FIGHTERS","ABGF.jpg","ABGF","","","",""
"1962","ABORIGINAL WARRIORS 4 ECONOMIC HOPE!","AWEH!.jpg","AWEH!","","","",""
"1702","ABOVE MASSIVE CONSTITUENCY","ABMCDC44.jpg","ABMC","","","",""
"1728","ACTION ALLIANCE DEVELOPMENT PARTY","AADP.jpg","AADP","","","",""
"2021","ACTION SAVE-BNM","ASBNM.jpg","ASBNM","","","",""
"1511","ACTIONSA","ACTIONSA.jpg","ACTIONSA","","","",""
"1693","ACTIVE AFRICAN CHRISTIANS UNITED MOVEMENT","AACUM.jpg","AACUM","","","",""
"2167","ACTIVE BUSINESS AND CIVIL SOCIETY PARTY","ABCSP.jpg","ABCSP","","","",""
"1979","ACTIVE CITIZENRY TAUNG ASSOCIATION","ACTA.jpg","ACTA","","","",""
"1473","ACTIVE CITIZENS COALITION","ACC.jpg","ACC","","","",""
"1870","ACTIVE CITIZENS OF SOUTH AFRICA","ACSA.jpg","ACSA","","","",""
"1052","ACTIVE UNITED FRONT","AUFWC047.jpg","AUF","","","",""
"2082","ACTIVISTS FOR THE RESTORATION OF THE KAROO","ARK.jpg","ARK","","","",""
"1526","ACTIVISTS MOVEMENT OF SOUTH AFRICA","AMSA.jpg","AMSA","","","",""
"1119","ADVIESKANTOOR","NO_ABBR1119.jpg","NO_ABBR","","","",""
"2005","AFRICA PEOPLE COALITION PARTY","APCPARTY.jpg","APCPARTY","","","",""
"1287","AFRICA REDEMPTION DEMOCRACY","ARD.jpg","ARD","","","",""
"1523","AFRICA RESTORATION ALLIANCE","ARA.jpg","ARA","","","",""
"1047","AFRICAN ALLIANCE CONGRESS","AAC.jpg","AAC","","","",""
"18","AFRICAN CHRISTIAN DEMOCRATIC PARTY","ACDP.jpg","ACDP","","","",""
"1740","AFRICAN CONGRESS FOR TRANSFORMATION","ACT.jpg","ACT","","","",""
"1370","AFRICAN CONTENT MOVEMENT","ACM.jpg","ACM","","","",""
"1281","AFRICAN COVENANT","ACO.jpg","ACO","","","",""
"2120","AFRICAN CULTURAL IDENTITY MOVEMENT","ACIM.jpg","ACIM","","","",""
"1292","AFRICAN DEMOCRATIC CHANGE","ADEC.jpg","ADEC","","","",""
"2058","AFRICAN DEMOCRATICAL PARTY","ADP.jpg","ADP","","","",""
"1572","AFRICAN DEMOCRATS","A.D.jpg","A.D","","","",""
"1720","AFRICAN ECONOMIC FREEDOM","AEF.jpg","AEF","","","",""
"1929","AFRICAN ECONOMIC MOVEMENT","AEM.jpg","AEM","","","",""
"1294","AFRICAN ECONOMIC TRANSFORMERS","AET.jpg","AET","","","",""
"2115","AFRICAN FORWARD CONGRESS","NO_ABBR2115.jpg","NO_ABBR","","","",""
"1131","AFRICAN FREEDOM PARTY","AFP.jpg","AFP","","","",""
"1544","AFRICAN HEART CONGRESS","AHC.jpg","AHC","","","",""
"330","AFRICAN INDEPENDENT CONGRESS","AIC.jpg","AIC","","","",""
"2130","AFRICAN INDEPENDENT NATIONAL DEMOCRATIC CAUCUS","AINDC.jpg","AINDC","","","",""
"1619","AFRICAN INDEPENDENT PEOPLE'S ORGANISATION","AIPOMP315.jpg","AIPO","","","",""
"1986","AFRICAN LABOUR CONVENTION","ALC.jpg","ALC","","","",""
"2188","AFRICAN LIBERATION ALLIANCE MOVEMENT","ALAM.jpg","ALAM","","","",""
"2011","AFRICAN LIBERATION MOVEMENT","ALM.jpg","ALM","","","",""
"998","AFRICAN MANTUNGWA COMMUNITY","AC.jpg","AC","","","",""
"1775","AFRICAN MOVEMENT CONGRESS","AMC.ROY..jpg","AMC.ROY.","","","",""
"7","AFRICAN NATIONAL CONGRESS","ANC.jpg","ANC","","","",""
"1514","AFRICAN PEOPLE FIRST","APF.jpg","APF","","","",""
"450","AFRICAN PEOPLE'S CONVENTION","APC.jpg","APC","","","",""
"1528","AFRICAN PEOPLE'S MOVEMENT","APEMO.jpg","APEMO","","","",""
"1757","AFRICAN PEOPLES PROGRESSION","APPEIR.jpg","APPEIR","","","",""
"997","AFRICAN PEOPLE'S SOCIALIST PARTY","APSP.jpg","APSP","","","",""
"1305","AFRICAN RENAISSANCE UNITY","ARU.jpg","ARU","","","",""
"2112","AFRICAN RESTORATION MOVEMENT","ARM.JBS.jpg","ARM.JBS","","","",""
"2152","AFRICAN REVOLUTIONARY COUNCIL","ARC.jpg","ARC","","","",""
"2063","AFRICAN RISING MOVEMENT","AKANI.jpg","AKANI","","","",""
"2091","AFRICAN ROYAL RAINBOW CONGRESS","ARRC..jpg","ARRC.","","","",""
"1274","AFRICAN SECURITY CONGRESS","ASC.jpg","ASC","","","",""
"2147","AFRICAN SOLUTION","A.S.jpg","A.S","","","",""
"1924","AFRICAN SPEAR MOVEMENT","ASM.jpg","ASM","","","",""
"2003","AFRICAN TRADITIONAL CONGRES","A.T.C..jpg","A.T.C.","","","",""
"1318","AFRICAN TRANSFORMATION MOVEMENT","ATM.jpg","ATM","","","",""
"1059","AFRICAN UNEMPLOYED CONGRESS","AUC.jpg","AUC","","","",""
"1515","AFRICAN UNIFIED MOVEMENT","AUM.jpg","AUM","","","",""
"2061","AFRICAN UNITED PARTY","AUP.jpg","AUP","","","",""
"1643","AFRICAN VOICE PROGRESSIVE PARTY","AVPPMP316.jpg","AVPP","","","",""
"2073","AFRICAN-SOCIO-ECONOMIC-PARTY","ASEP.jpg","ASEP","","","",""
