"Level","ProvinceID","Province","MunicipalityID","Municipality","AgeGroup","Male","Female","Total","ScrapedOn"
"National","","","","","18-19","310817","388468","699285","2026-09-22"
"National","","","","","20-29","2157066","2686054","4843120","2026-09-22"
"National","","","","","30-39","3119990","3658207","6778197","2026-09-22"
"National","","","","","40-49","2994409","3317260","6311669","2026-09-22"
"National","","","","","50-59","2209498","2602506","4812004","2026-09-22"
"National","","","","","60-69","1405513","1925725","3331238","2026-09-22"
"National","","","","","70-79","642923","1030826","1673749","2026-09-22"
"National","","","","","80+","231184","542606","773790","2026-09-22"
"Province","1","Eastern Cape","","","18-19","52438","59820","112258","2026-09-22"
"Province","1","Eastern Cape","","","20-29","293484","337880","631364","2026-09-22"
"Province","1","Eastern Cape","","","30-39","361896","419480","781376","2026-09-22"
"Province","1","Eastern Cape","","","40-49","322634","378005","700639","2026-09-22"
"Province","1","Eastern Cape","","","50-59","237488","324566","562054","2026-09-22"
"Province","1","Eastern Cape","","","60-69","181677","274364","456041","2026-09-22"
"Province","1","Eastern Cape","","","70-79","90089","153333","243422","2026-09-22"
"Province","1","Eastern Cape","","","80+","43224","97371","140595","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","18-19","4817","6096","10913","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","20-29","30124","39633","69757","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","30-39","43000","54191","97191","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","40-49","46159","54257","100416","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","50-59","36238","45397","81635","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","60-69","24052","35612","59664","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","70-79","10482","16857","27339","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","80+","3511","8138","11649","2026-09-22"
"Municipality","1","Eastern Cape","1102","EC101 - Dr. Beyers Naude","18-19","510","641","1151","2026-09-22"
"Municipality","1","Eastern Cape","1102","EC101 - Dr. Beyers Naude","20-29","3187","4088","7275","2026-09-22"
"Municipality","1","Eastern Cape","1102","EC101 - Dr. Beyers Naude","30-39","4313","5017","9330","2026-09-22"
"Municipality","1","Eastern Cape","1102","EC101 - Dr. Beyers Naude","40-49","4095","4656","8751","2026-09-22"
