"Level","ProvinceID","Province","MunicipalityID","Municipality","Male","Female","Total","ScrapedOn"
"National","","","","","13071400","16151652","29223052","2026-09-22"
"Province","1","Eastern Cape","","","1582930","2044819","3627749","2026-09-22"
"Municipality","1","Eastern Cape","1117","BUF - Buffalo City","198383","260181","458564","2026-09-22"
"Municipality","1","Eastern Cape","1102","EC101 - Dr. Beyers Naude","19347","23874","43221","2026-09-22"
"Municipality","1","Eastern Cape","1103","EC102 - Blue Crane Route","8802","10519","19321","2026-09-22"
"Municipality","1","Eastern Cape","1105","EC104 - Makana","20151","26917","47068","2026-09-22"
"Municipality","1","Eastern Cape","1106","EC105 - Ndlambe","16790","20977","37767","2026-09-22"
"Municipality","1","Eastern Cape","1107","EC106 - Sundays River Valley","12786","14533","27319","2026-09-22"
"Municipality","1","Eastern Cape","1109","EC108 - Kouga","31235","37157","68392","2026-09-22"
"Municipality","1","Eastern Cape","1110","EC109 - Kou-Kamma","11535","12423","23958","2026-09-22"
"Municipality","1","Eastern Cape","1113","EC121 - Mbhashe","55951","77683","133634","2026-09-22"
"Municipality","1","Eastern Cape","1114","EC122 - Mnquma","54085","70168","124253","2026-09-22"
"Municipality","1","Eastern Cape","1115","EC123 - Great Kei","9692","11115","20807","2026-09-22"
"Municipality","1","Eastern Cape","1116","EC124 - Amahlathi","23092","27187","50279","2026-09-22"
"Municipality","1","Eastern Cape","1118","EC126 - Ngqushwa","17538","20449","37987","2026-09-22"
"Municipality","1","Eastern Cape","1147","EC129 - Raymond Mhlaba","40443","49560","90003","2026-09-22"
"Municipality","1","Eastern Cape","1122","EC131 - Inxuba Yethemba","14929","18193","33122","2026-09-22"
"Municipality","1","Eastern Cape","1126","EC135 - Intsika Yethu","35870","43452","79322","2026-09-22"
"Municipality","1","Eastern Cape","1127","EC136 - Emalahleni","29226","34918","64144","2026-09-22"
"Municipality","1","Eastern Cape","1128","EC137 - Dr. A.B. Xuma","32748","45111","77859","2026-09-22"
"Municipality","1","Eastern Cape","1129","EC138 - Sakhisizwe","15611","18413","34024","2026-09-22"
"Municipality","1","Eastern Cape","1149","EC139 - Enoch Mgijima","56328","71838","128166","2026-09-22"
"Municipality","1","Eastern Cape","1131","EC141 - Elundini","30245","36552","66797","2026-09-22"
"Municipality","1","Eastern Cape","1132","EC142 - Senqu","29929","38519","68448","2026-09-22"
"Municipality","1","Eastern Cape","1148","EC145 - Walter Sisulu","18494","22920","41414","2026-09-22"
"Municipality","1","Eastern Cape","1138","EC153 - Ngquza Hill","67452","89572","157024","2026-09-22"
"Municipality","1","Eastern Cape","1139","EC154 - Port St Johns","42492","54394","96886","2026-09-22"
