"Town","Suburb","Street","Latitude","Longitude","ProvinceID","Province","MunicipalityID","Municipality","WardID","VDNumber","VotingDistrict","VDAddress"
"PORT ELIZABETH","PROVIDENTIA","40 MILNER STREET","-34.00052","25.53665","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10250064","MOUNT PLEASANT PRIMARY SCHOOL","PROVIDENTIA, 40 MILNER STREET, PORT ELIZABETH"
"GQEBERHA","THEESCOMBE","412 HEATHERBANK ROAD","-33.983264","25.522612","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10251920","HEATHERBANK PRIMARY SCHOOL","THEESCOMBE, 412 HEATHERBANK ROAD, GQEBERHA"
"GQEBERHA","MIRAMAR","34 GODLONTON AVENUE","-33.996628","25.548169","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10251931","ST DOMINICS PRIORY SCHOOL","MIRAMAR, 34 GODLONTON AVENUE, GQEBERHA"
"PORT ELIZABETH","LOVEMORE PARK AREA","SEAVIEW ROAD","-34.010067","25.506425","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300001","10460090","ELUKHOLWENI FARM SCHOOL","LOVEMORE PARK AREA, SEAVIEW ROAD, PORT ELIZABETH"
"GQEBERHA","SUMMERSTRAND","ADMIRALTY WAY","-33.99761","25.66847","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10250019","CAPE RECIFE HIGH SCHOOL","SUMMERSTRAND, ADMIRALTY WAY, GQEBERHA"
"PORT ELIZABETH","SUMMERSTRAND","7TH AVENUE","-33.990971","25.661829","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10250020","PORTUGUESE CLUB","SUMMERSTRAND, 7TH AVENUE, PORT ELIZABETH"
"GQEBERHA","SUMMERTSRAND","56 VIGNE ROAD","-33.997501","25.653846","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10251942","TENT AT VIGNE ROAD","SUMMERTSRAND, 56 VIGNE ROAD, GQEBERHA"
"GQEBERHA","SUMMERSTRAND","77 LOUIS BOTHA CRESCENT","-33.996109","25.659825","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300002","10251953","NEDERDUITSE GEREFORMEEDE KERK NG KERK SUMMERSTRAND","SUMMERSTRAND, 77 LOUIS BOTHA CRESCENT, GQEBERHA"
"PORT ELIZABETH","WALMER","WILLIAM MOFFETT","-33.97734","25.55457","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300003","10250086","WALMER WEST PRIMARY SCHOOL","WALMER, WILLIAM MOFFETT, PORT ELIZABETH"
"PORT ELIZABETH","WALMER","MAIN ROAD","-33.977584","25.585254","1","Eastern Cape","1001","NMA - Nelson Mandela Bay","29300003","10250097","WALMER TOWN HALL","WALMER, MAIN ROAD, PORT ELIZABETH"
